22559 (20683.19, 97.84648, 20228, 21029)
22619 (20690.81, 93.07481, 20244, 21237)
22680 (20679.94, 111.7334, 20148, 21253)
22740 (20680.7, 99.68819, 20276, 21269)
22800 (20694.89, 96.2836, 20260, 21221)
22860 (20692.77, 101.5724, 20068, 21141)
22920 (20695.22, 114.5962, 20276, 21509)
22980 (20694.83, 103.398, 20308, 21333)
23041 (20695.01, 105.9213, 20276, 21333)
23101 (20704.67, 106.3721, 20260, 21317)
23161 (20698.93, 107.9223, 19972, 21253)
23221 (20707.29, 111.2956, 19940, 21333)
23281 (20700.72, 96.14421, 20164, 21157)
23341 (20702.87, 108.3002, 20116, 21173)
23402 (20702.39, 109.98, 19876, 21413)
23462 (20704.05, 98.81262, 20116, 21061)
23522 (20705.6, 99.95846, 20052, 21061)
23582 (20714.23, 98.78756, 20276, 21125)
23642 (20722.96, 101.1857, 20132, 21301)
23702 (20725.77, 108.8981, 19924, 21317)
23762 (20730.69, 103.4879, 20292, 21221)
23823 (20733.38, 99.29047, 20292, 21125)
23883 (20740.25, 105.9896, 19876, 21205)
23943 (20739.96, 106.4406, 20292, 21349)
24003 (20752.86, 103.5083, 20308, 21061)
24063 (20752.76, 88.84359, 20180, 21061)
24123 (20740.67, 111.5987, 20068, 21301)
24184 (20749.43, 111.2927, 20292, 21461)
24244 (20758.2, 94.36372, 20244, 21077)
24304 (20761.39, 96.93777, 20116, 21157)
24364 (20753.39, 104.1915, 20356, 21317)
24424 (20748.5, 117.7556, 20180, 21397)
24484 (20743.23, 107.3503, 20276, 21125)
24545 (20740.64, 104.1445, 20308, 21381)
24605 (20750.36, 96.14244, 20356, 21269)
24665 (20740.38, 105.2345, 20228, 21189)
24725 (20750.08, 106.7688, 20100, 21381)
24785 (20748.51, 103.7641, 20148, 21253)
24845 (20749.08, 90.33073, 20292, 21189)
24905 (20749.62, 109.9451, 20308, 21301)
24966 (20751.99, 100.1154, 19940, 21477)
25026 (20754.91, 105.149, 20116, 21381)
25086 (20750.21, 108.2025, 19988, 21269)
25146 (20751.47, 105.7619, 20196, 21397)
25206 (20752.84, 103.0119, 20132, 21525)
25266 (20750.13, 115.1048, 19940, 21573)
25327 (20760.18, 101.4261, 20292, 21317)
25387 (20759.88, 105.0431, 20260, 21189)
25447 (20756.45, 86.15994, 20372, 21141)
25507 (20751.46, 110.9013, 20164, 21333)
25567 (20758.37, 99.50175, 20260, 21125)
25627 (20752.11, 104.9139, 20276, 21509)
25688 (20764.75, 104.2823, 20004, 21141)
25748 (20766.79, 91.73482, 20356, 21285)
25808 (20772.42, 109.339, 19972, 21349)
25868 (20774.74, 108.5839, 20132, 21333)
25928 (20781.5, 102.4367, 20244, 21093)
25988 (20792.91, 102.8681, 20388, 21477)
26048 (20793.36, 103.5977, 20292, 21269)
26109 (20798.23, 96.88788, 20164, 21477)
26169 (20798.3, 108.8295, 20276, 21253)
26229 (20802.27, 101.2364, 20340, 21541)
26289 (20804.56, 96.11444, 20228, 21173)
26349 (20814.6, 102.7022, 20276, 21269)
26409 (20815.55, 101.6971, 20436, 21333)
26470 (20814.89, 106.8551, 20340, 21269)
26530 (20823.74, 93.9461, 20404, 21189)
26590 (20828.13, 93.02589, 20452, 21205)
26650 (20824.11, 107.9211, 20420, 21461)
26710 (20816.53, 104.6896, 20148, 21349)
26770 (20811.31, 108.3483, 20388, 21525)
26831 (20807.98, 99.69766, 20388, 21189)
26891 (20814.2, 90.99075, 20372, 21173)
26951 (20806.64, 121.9262, 19908, 21669)
27011 (20814.52, 102.7953, 20228, 21221)
27071 (20810.75, 107.4235, 20308, 21477)
